Date,Close,High,Low,Open,Volume,Adj Close,return,log_return,rolling_mean_7,rolling_std_7,rolling_skew_7,rolling_kurt_7,rolling_mean_14,rolling_std_14,rolling_skew_14,rolling_kurt_14,rolling_mean_30,rolling_std_30,rolling_skew_30,rolling_kurt_30,ATR,ATR_pct,BB_high_20,BB_low_20,BB_pct_20,BB_width_20,BB_high_50,BB_low_50,BB_pct_50,BB_width_50,RSI,RSI_14,RSI_30,Stoch_K,Stoch_D,Williams_R,MACD,MACD_signal,MACD_diff,MA_5,EMA_5,MA_10,EMA_10,MA_20,EMA_20,MA_50,EMA_50,MA_100,EMA_100,MA_200,EMA_200,MA_20_50_signal,MA_50_200_signal,PSAR,OBV,VWAP,vol_change,vol_rolling_mean_14,vol_rolling_std_14,vol_ratio,ADL,CMF,VPT,price_position,gap,gap_filled,intraday_return,overnight_return,higher_high,lower_low,higher_low,lower_high,resistance_20,support_20,near_resistance,near_support,volatility_regime,trend_strength
2023-07-19,29913.923828125,30184.181640625,29794.26953125,29862.046875,12128602812,29913.923828125,0.0019212301525000086,0.0019193869502834365,30324.490234375,540.3856773281351,1.9950777552065195,4.647169233845898,30315.27706473214,396.9676216997551,1.9479295648837587,5.635760618393139,30334.418359375,519.5079064842153,-1.6247924845002315,7.514403498988211,757.7051398035395,2.5329513578928986,31195.958662576657,29659.057938985843,0.1658310684789636,0.051377436555007316,32764.211885676767,24763.329129948233,0.6437533026576354,0.2674634996631944,49.83590404612559,49.83590404612559,53.73724123931613,15.831805982142317,16.91246975571902,-84.16819401785769,279.59498974864255,474.03468504827435,-194.4396952996318,30092.262890625,30087.408900821087,30369.85,30224.809478310344,30427.50830078125,30128.20274905733,28763.7705078125,29295.556616244394,28465.2416015625,28394.9251031015,25940.489462890626,27446.448114085844,1,1,31532.94705211,67327878641,25519.958734510685,-0.07689339800104045,13668019619.142857,5160026164.156697,0.8873708957084891,198371937231.2459,-0.05213180869504705,23492692373.24464,0.3068750469607033,0.0001836907715012403,1,0.0017372202696671307,0.0001836907715012403,False,False,True,True,31814.515625,29556.427734375,False,True,low,0.6778157434558435
2023-07-20,29792.015625,30195.53125,29638.095703125,29915.25,14655207121,29792.015625,-0.0040752996439197275,-0.004083626307646249,30083.9140625,225.2420309502606,-0.23724785423426858,-2.234737569461511,30306.896902901786,407.30026218399877,1.773990008457151,5.117760689249772,30383.2359375,372.3968587520624,0.833662616348116,1.5422777675707438,743.4001688800724,2.4953000100343914,31209.393390449073,29577.099578300924,0.1316650501886299,0.05478964003960874,32801.04058236221,24829.39473013778,0.622534039627141,0.26757658671254914,48.499113109002906,48.499113109002906,53.15417349236311,10.433070014816533,13.185473628793273,-89.56692998518346,223.27272629969957,423.88229329855943,-200.60956699885986,29991.5046875,29988.944475547392,30307.6044921875,30146.11968679937,30393.246484375,30096.18492765982,28815.21765625,29315.031867300626,28460.811171875,28423.095944305383,26006.324140625,27473.398015364368,1,1,31414.3558930459,52672671520,25535.606003369925,0.20831783744292354,13205590162.857143,4710443156.769294,1.109772977978685,191809964737.17972,-0.08490700736024065,23432968012.88286,0.2761214686395218,4.4332929461869403e-05,1,-0.004119449946097726,4.4332929461869403e-05,True,True,False,False,31814.515625,29556.427734375,False,True,low,0.8087580344254548
2023-07-21,29908.744140625,30045.998046875,29733.8515625,29805.111328125,10972789818,29908.744140625,0.0039181140710413676,0.003910458253167224,30023.153459821428,202.75938468177313,0.3886765837266284,-2.0040574333796313,30275.931082589286,420.66484683323887,1.7922206410601904,4.798440530153803,30379.2841796875,376.90594039461524,0.7952032555413865,1.4232174718004609,712.5963342725672,2.382568558954131,31196.230307873524,29522.12926243898,0.23093879502695597,0.05597363224491316,32832.83729273202,24921.148879142977,0.6304084540179026,0.26452760357940314,49.88527892743698,49.88527892743698,53.652299404717446,15.60242219590863,13.955766064289174,-84.39757780409137,185.91285474369215,376.288405587586,-190.37555084389385,29923.426953125,29962.211030573264,30236.3837890625,30102.960496585853,30359.17978515625,30078.333424103068,28876.9930859375,29338.32190603137,28458.5080859375,28453.041617666546,26072.4255078125,27501.33643705308,1,1,31302.880203525645,63645461338,25547.56598315087,-0.2512702326617633,13033305853.071428,4747350006.330203,0.8419038071921064,193133065448.50113,-0.1021575611959276,23475960655.067345,0.5602900781509083,0.0004395709001310649,1,0.0034770147763953816,0.0004395709001310649,False,False,True,True,31814.515625,29556.427734375,False,True,low,0.6321049139146433
2023-07-22,29771.802734375,29991.615234375,29664.12109375,29908.697265625,7873300598,29771.802734375,-0.004578641136054662,-0.004589155219131938,29948.295758928572,180.8682351688408,0.9761214009675128,-0.44771191949530903,30238.735491071428,441.5850999869898,1.71140289590726,4.200348260010809,30374.6015625,383.7190383865312,0.7128248568043257,1.3062670843531576,685.0890347263123,2.301133864276541,31182.04217115837,29451.42071946663,0.18512541526350873,0.05812954852389693,32863.26055311613,24991.614134383868,0.6072666816710228,0.2643993878692315,48.244716577366454,48.244716577366454,52.96875136650853,9.537936981734926,11.857809730820044,-90.46206301826507,143.59953431099711,329.75063133226826,-186.15109702127114,29848.609765625,29898.741598507175,30174.3994140625,30042.7499943657,30316.7314453125,30049.14002503752,28927.43734375,29355.326207993046,28452.23544921875,28479.61398441838,26137.885234375,27527.3437704005,1,1,31198.093055376605,55772160740,25555.839189733895,-0.2824704812002806,13059300274.428572,4715667341.333383,0.6028883962042528,190437322677.38895,-0.1300447813626861,23439911637.07282,0.32880478539096,-1.5672674111491615e-06,1,-0.004577081042153487,-1.5672674111491615e-06,False,True,False,True,31814.515625,29556.427734375,False,True,low,0.7954129803802724
2023-07-23,30084.5390625,30330.640625,29741.52734375,29790.111328125,9220145050,30084.5390625,0.010504447141318263,0.010449658783391701,29924.782366071428,141.6974819933148,0.7088888548195097,-0.8604078298466817,30232.54296875,443.2094037248892,1.7380988472571008,4.215439847859185,30354.237239583334,382.31184439807595,0.8541281163326482,1.5560147570555,678.2336237637186,2.25442584430063,31042.260100585198,29484.0127509773,0.3853857423045257,0.05179561988204873,32900.2769347954,25074.974158954592,0.6401752171189494,0.26011044276210804,52.11751794539013,52.11751794539013,54.34296794837427,23.38754529075606,16.17596815613322,-76.61245470924395,133.75923781887104,290.5523526295888,-156.79311481071778,29894.205078125,29960.67408650478,30035.2484375,30050.348006753753,30263.13642578125,30052.51136194329,28987.625546875,29383.93095865136,28448.22384765625,28511.941175574946,26203.99173828125,27556.59147654973,1,1,31099.59313611651,64992305790,25566.202181352754,0.17106478220101606,13153358657.142857,4617016536.007906,0.7009726785632089,191954052525.24988,-0.15340390166800036,23536764163.38583,0.5822508669677017,0.0006149642301929068,1,0.00988340497059604,0.0006149642301929068,True,False,True,False,31814.515625,29556.427734375,False,True,low,0.2633272032285273
2023-07-24,29176.916015625,30093.39453125,28934.294921875,30081.662109375,15395817395,29176.916015625,-0.03016908602087709,-0.030633538164858885,29786.35770089286,287.7369813373499,-1.9157804371803158,4.565045464652667,30144.14620535714,520.7615885105746,0.920396199264817,3.0261272774993224,30308.511263020835,436.45331617984584,0.1836610974166729,1.795001989472815,712.5811941645244,2.442277291345386,31057.435146256805,29308.7711037432,-0.0754033278620311,0.059933134865149944,32905.07080245772,25152.494275667286,0.5191076445425074,0.2657092518838771,42.238921977791094,42.238921977791094,49.96024818671253,8.4236979994887,13.783060090659909,-91.5763020005113,52.12230391826961,242.866342887325,-190.7440389690554,29746.803515625,29699.421396211517,29919.533203125,29891.54219018489,30183.103125,29969.121328858113,29028.7825390625,29375.810497715644,28436.808046875,28525.33086687088,26265.69263671875,27575.096282491766,1,1,31007.00321201202,49596488395,25579.946189366245,0.6698020813674725,13193902102.857143,4635311177.223164,1.1668888608523198,183003496651.0683,-0.15452071152125887,23072286424.03436,0.20931858814172505,-9.562895808452276e-05,1,-0.030076333231202488,-9.562895808452276e-05,False,True,False,True,31814.515625,28934.294921875,False,True,low,1.4120315237265268
2023-07-25,29227.390625,29353.16015625,29062.43359375,29178.970703125,10266772793,29227.390625,0.0017299501204297574,0.0017284554802405464,29696.476004464286,353.01554857615446,-0.8692261378487266,-0.9423135016474952,30044.60616629464,554.6923585079687,0.9348114238365786,2.9459839227022186,30266.748893229167,477.4665241170484,-0.008456205244043604,1.3004548601017816,682.4487204742012,2.334962875168406,31071.998494260086,29165.530216677413,0.03244764628395699,0.0652288225809646,32860.41318999428,25335.843606880717,0.5171786871175447,0.2574492427208788,42.8872528227288,42.8872528227288,50.19134601386037,10.176154306751394,13.995799198998732,-89.8238456932486,-8.405778633976297,192.61191858306475,-201.01769721704105,29633.878515625,29542.07780580768,29812.6916015625,29770.787360151277,30118.76435546875,29898.480309364506,29098.1283984375,29369.988575924235,28425.9283984375,28539.462571452004,26327.06974609375,27593.938495891325,1,1,30841.18654880106,59863261188,25589.18123869081,-0.33314532579905287,13059254505.785715,4694905564.492104,0.7861683673023949,184387371434.872,-0.1450088176048235,23090047428.864033,0.5673958025421224,7.042168195225504e-05,1,0.001659411579923014,7.042168195225504e-05,False,False,True,True,31814.515625,28934.294921875,False,True,low,1.3061402325575115
2023-07-26,29354.97265625,29675.552734375,29113.912109375,29225.759765625,13497554655,29354.97265625,0.004365152978824893,0.004355653333464597,29616.625837053572,358.8008968302756,-0.12827755572233343,-1.9713691977901937,29970.558035714286,573.6710797367105,1.1237654808232589,2.9623304958785845,30236.210286458332,505.64375756971947,-0.029366072605744087,0.7633246211634607,673.8195707974726,2.2954188330814507,31097.76640165589,29084.32578584411,0.1344200908040044,0.06858942228934743,32865.546279424685,25415.358095575313,0.5287939664685305,0.2537964613727257,44.580518409406594,44.580518409406594,50.78565490545519,14.605746494307551,11.068532933515897,-85.39425350569245,-45.554789210418676,144.97857702436806,-190.53336623478674,29523.12421875,29479.70942262179,29723.2755859375,29695.18468671468,30091.04609375,29846.717675682477,29140.4521875,29369.399567158347,28425.02767578125,28555.872543492264,26389.06921875,27613.991596363878,1,1,30688.635218646974,73360815843,25601.674755752407,0.3146832921249394,12965818429.928572,4670428649.646697,1.0410106178753853,182476328729.9629,-0.07499698701233697,23148966319.77316,0.42920781749895676,-5.579900703161044e-05,1,0.004421198684353065,-5.579900703161044e-05,True,False,True,False,31814.515625,28934.294921875,False,True,low,1.0923895199850735
2023-07-27,29210.689453125,29560.966796875,29099.3515625,29353.798828125,10770779217,29210.689453125,-0.004915119656712763,-0.004927238584293436,29533.579241071428,378.19177493012535,0.5182071463582607,-1.9317894512048397,29808.746651785714,413.48587564475423,-0.44256739517110083,-1.1912062850416125,30186.9611328125,531.4021487564102,-0.014792453837021503,0.5206029891565288,658.6621181958674,2.2548667303893533,31103.60920482116,28965.32536549134,0.11474813732425854,0.07320210098981646,32836.27214705259,25559.219884197413,0.5017786649088763,0.24912292037929507,43.02690457099977,43.02690457099977,50.08649330391654,10.438021618950327,11.739974140003104,-89.56197838104967,-85.65076766962011,98.85270808557044,-184.50347575519055,29410.9015625,29390.036099456192,29629.7556640625,29607.094644243833,30034.46728515625,29786.1435591933,29197.746015625,29363.174126307946,28413.15904296875,28569.0447727942,26449.666943359374,27632.147292937043,1,1,30548.287994905215,62590036626,25611.204053527526,-0.20201995899975111,12043296977.714285,3525154727.845301,0.8943380900538253,176901200562.18362,-0.1366987313246454,23096026651.12557,0.24119197620447902,-3.998736904801984e-05,1,-0.004875327239174284,-3.998736904801984e-05,False,True,False,True,31814.515625,28934.294921875,False,True,low,1.2506834828874762
2023-07-28,29319.24609375,29521.513671875,29125.845703125,29212.1640625,11218474952,29319.24609375,0.0037163327075591113,0.0037094442045335473,29449.365234375,344.896147524963,1.3762272379802152,0.7055038521582517,29736.259347098214,403.13230990209394,-0.20015492360824896,-1.501894681140639,30161.394466145834,554.3693311407396,-0.006137726186915004,0.1574836692665667,639.8768218068769,2.1824463690533973,31091.505607155825,28880.099470969177,0.19858252882398542,0.07542506819976025,32810.471202991655,25697.46200013335,0.50917747894397,0.2426054605945202,44.59149161253369,44.59149161253369,50.615656550651856,25.60766144539492,16.88380985288428,-74.39233855460508,-107.4291296870033,57.5963405310557,-165.025470218059,29257.84296875,29366.43943088746,29576.0240234375,29554.758544154047,29985.8025390625,29741.677133876365,29253.9666015625,29361.45105553892,28418.12470703125,28584.131009241344,26510.280400390624,27651.303706317696,1,1,30419.168549062797,73808511578,25621.373817020038,0.04156577031059938,11350480712.857143,2429768748.103537,0.9883700290589794,176649786930.75497,-0.1488396965991385,23137718236.51862,0.4887946609274269,5.048184081263595e-05,1,0.003665665817188206,5.048184081263595e-05,False,False,True,True,31814.515625,28934.294921875,False,True,low,1.0416949365821475
